id,followers,following
Compa_Gloria,376,396
revistaproceso,3957619,1826
RompevientoTV,37246,18085
NoticiasyTrends,72,11
necoxtla,27,13
canallasforever,6896,2783
ActorRev,1098,69
albinogra,55,41
jenarovillamil,211745,25351
Navarromiguel2,43,145
CNDH,155930,2047
VeracruzMVS,164,0
JorgeMagjorge,278,284
marielaramirezu,4232,3830
Coordinadora1DM,10242,469
1Elvergudillo,532,1316
histiocito,391,945
informador,410626,404
johnjoh23911099,29,4
MagdaKorolyova,43,4
azellamelnikov5,428,1534
El_Universal_Mx,4205521,11921
torreon,124950,2199
JancarloJuan,305,288
chanopachon1,0,26
JohnMAckerman,225588,9290
jjsalazar71,283,323
teleSURtv,1307336,250
kirias15,145,582
equinox_04418,66,76
ClubFansProceso,10896,9342
elyacoria,55,125
LaCapitalMx_,12830,46
ely_gitana1,1140,1993
herbert_mirus,2616,757
brozoxmiswebs,4356649,907
gravesdouglas1,663,114
LaJornada,936408,13
ManceraMiguelMX,2610424,376
rock_steadee,653,918
valolagunes,40,292
temoris,7378,1526
MaricelaTern,334,544
eliumadera,3251,947
econsulta_ver,13262,8979
juanjorgelucas,126,181
crishtinafor,24,175
ZanozaYa_,11639,5762
contralinea,40006,2
isaanr_13,197,82
CGT,16102,1058
CGT_Madrid,1423,368
MujeresCgt_Madr,838,562
gabymas_xp,25,171
gallodiano,269,167
padresolalinde,118247,2192
Omarel44,35382,15386
Vianey_Pizarro,10522,4961
PacoR,3,0
PeriodicoKetzal,1208,1523
elvicioteatro,23540,14315
guada_mo,1496,1415
razamSD,1409,1390
emeequis,298468,8302
MexicanPink,410,1407
vicuyaze,3036,2995
AleAlvaradoS,669,692
osomugroso71,3755,4999
ARamirezM1,300,960
PRI_Nacional,343015,1054
Javier_Duarte,522722,74
gaytancristina,2710,1678
CGTCatalunya,14467,10663
CGTBarcelona,1540,1106
mariamahi44,154,161
bancamadrid,816,553
cgtmetal,3881,3893
fernandoherna98,33,81
matalacahimba,28,158
Jaspelazuli,9680,4856
casta_anti,290,350
FaroAmarillo,3058,1465
armandovuelo,1436,5002
hugoegg5,458,971
doccarlosrd,506,486
epigmenioibarra,270181,27182
inconvexo,532,363
luispazos1,28982,153
vjorge093,77,98
LuisLeyG,849,1508
Majitoanorve,1197,475
La_Sintesis,8699,750
YaMeCanse_FARC,546,528
SITRAIEMS_CS,763,5001
AdrianaEteleSUR,454,228
Mac500627Mac,1359,2254
aristeguicnn,5595340,17
yeilendc,1572,2086
juareztjl,2591,1660
averonicap,42,126
EPN,5836392,271
AlejandroazUL7,429,464
AnaFriasPulido,186,381
elalfonsino,838,1471
gpelizarraga,10689,398
AIMexico,154327,446
jmochoar,451,132
Memolp00,601,1030
FBorgiaUy,284,726
amnistiauruguay,3520,2053
bramexsui,30,52
LUCERORAMIREZOS,1923,2182
katyrgr,1494,1577
GustavoVela71,57708,18437
beldiarez,136,982
JorgeMoch,4336,2217
ittmakey,1055,3422
xmax444,6209,6114
isavenda,824,426
Ana_Bunker,2995,2142
gracielacorona2,123,115
PlantonxAyotzi,2856,1851
hekglez,50459,53380
LegislativoJal,26325,450
PorAmorAEllxs,1642,463
diazpol,39402,26317
darwinfranco,2594,1945
tomalaMX,2109,899
5oymexicoficial,322,176
iliana244,263,469
edu1077,68,197
lajornadaonline,1621812,151
AmeyPascale,162,369
PipeHenriquezO,14033,7571
MarthaRosArell1,37,306
NTelevisa_com,2460596,567
Nataly_Ji,1736,1758
adrianaesthela,5973,2169
michavancuren73,225,279
ignacio_dector,781,916
aimee_colin,50,155
GuiaCoyoacan,36915,14499
ChairoMexicano,682,580
AR7_DECO,355,664
IperguerG,91,248
LumakSky,513,942
ivansolorio28,65,156
manueldjesust,946,1850
Joselui63993596,0,19
AristeguiOnline,6760515,8
AMiguelasosal,105,141
luminara8,112,42
Noticiasenfasis,5904,3266
Alfredancer1201,4417,3071
cgtindrabcn,736,470
CGTrelinternac,1253,1352
no_respira,1461,2398
EfektoNoticias,48601,524
Guiesga,2189,1382
Somoselmedio,9266,457
piopas,1189,2128
AdolphO07,616,719
Azucarporfavor,39,229
AndresLP2,629,299
SofiadeRo,1261,836
gurrutiar,2959,574
CDHVitoria,7485,799
carmelachavezc1,108,183
MaritzaGonzal47,76,49
gelasita,149,176
RolandoBetancou,198,139
todopueblo,7358,6569
xochitllarraag1,18,45
CentroProdh,24705,701
davevazquez1,177,81
IHildatorres,33,510
RedTDT,13681,1597
saul_rossmc,0,21
elmeromero1323,200,449
CompaJulia,1837,2801
traper_perez,300,435
Antonio_Rm_Hdez,146,998
daisywa41674486,15,55
mvgaytan,192,199
maxwellnatalie2,23,24
LaJornadaBC,4176,430
DRARTUROJGLOPEZ,191,331
MayaFlor1,1254,1214
GilOlmos,6390,297
VladimirChorny1,3159,1542
BelyaevaNatela,111,55
karentretyakov2,5,36
panoviessei1983,4,21
vitaliyaakseno1,8,56
danocamx,1609,763
anastas02724978,7,21
alezetab,2664,1040
jorsh1981,189,666
Sam_Andaryego,938,1616
Milenio,3625736,340
PGR_mx,429201,129
otrevlanauh,4333,2242
leonardodimash,870,1397
mytazz777,83,103
Leila69420824,1044,5000
Hispantv,34134,23
sqmussenden,250,170
PJAsmann,130,431
berenice_rj,4463,1595
nogogu,2467,2319
palabritadepape,2625,2647
tryno,13171,960
_markgerard,597,557
WookieeTropical,531,432
mgomezcesar,385,652
CirculosEstudio,3325,1473
norma22flores,21153,10475
ejaviergwong,132,605
adiazpi,100874,110515
LazcanoMJ,164,290
CdKaripg,33,139
lasillarota,276294,23771
RicardoMeb,15522,11451
OpinionLSR,2231,642
laincoubert16,94,1491
victoriosa21,109,137
IvanRomeroK,1129,1099
Alocc26,1228,953
bruJahElizalde,2821,2363
Davren85,522,1070
Leteo77,230,435
rhpsmedicus,549,834
24HorasMx,119099,201
jjschmittersoto,916,129
diario_mirus,2027,760
BeatrizChisle,470,384
AmigosBrigadas,5476,202
Joshuaa34730599,81,157
24daniel76,988,1370
seirim1,1215,2375
angelar81239030,9,27
bocadepescado,752,904
FRANCISCOGARC82,1319,2566
genarovasquez14,18,85
PAMOTIN,387,335
marc1gar,54937,221
LaAlamedaMor,13303,13237
JavSicilia,21292,665
pragahardy,208,483
Tab_Informa,479,18
Nimirie,221,777
gaminofelipe,4,163
porquesi21,3696,3516
Ma_maryOL,586,770
LUPITASAGI,175,834
radioamlo,38972,1026
Naomisntos,705,681
enkelisaga,175,154
Nathaly95263495,38,442
ArturoChipuli,208,142
AliHdz_,1445,184
cohnMV,389,115
ReporterosSF_Mx,345,432
fudgeKD,243,47
LillyOcampo,131,208
piinGuiiniitto,64,418
Drago237,2508,2347
AsambleaMXenARG,234,720
Jouniqueness,92,126
EdgarGuzVa,39,101
andres_chacons,1481,1411
DanteMan27,204,51
JosemanuelIzcal,665,1275
fernandow105,24,95
elsiegarza,153,591
MarioGuevara_S,729,523
laprensa,212732,410
Arquera_,6160,2781
cheko110620,283,887
3ALAMBIQUE,1199,250
Susi_Montemayor,20,0
poderdeunionUP,565,84
revistasisomos,5527,3115
Observador_MX,564,324
SarahMa15881022,511,2284
mendezcpedro,52,238
masde131,38115,4613
abrahamvl75,382,369
AlexAlvaradoR11,76,152
TxTamaulipas,616,243
deztroyerk,378,1999
atena_bennu,210,587
LaraAutos,157,498
JJesusArreola,106,84
mtinkersalas,646,168
NSOax,1029,1360
ydaliae,106,395
AmadoBC,1351,1204
WOLA_org,16451,1039
skualoR,44,57
Hugogutierrezz1,62,196
PIGMEOXG,44,111
IBERO_mx,42730,862
Ibero909FM,460798,502
VirgilioPonce,360,246
angiesara5,3,43
NoticiasMVS,1536257,3528
PRDMexico,92546,670
Estimado33De,24,622
CGTBaixP,1345,1298
GpeLavand,204,639
KivMx,50863,48803
Revolucion3_0,79468,513
MORAGgmora,1540,2081
everico29,21,244
spiderblack32,114,277
jonaPonceRocha,8,78
OraliaRentera,11,25
CIDH,220814,1278
jcolunga4,77,137
jhdzfabian,94,360
tonomusical,91,262
PatriciaDonoso,802,705
ramiro_pauta,310,277
kalos_thanatos,52,105
Desinformemonos,28662,1176
martinpali,120,224
Hectoraug1,168,263
essaord,29,91
bobnavarro,350,500
Axloficialmx,107,104
juliettecheanne,137,467
elobato48,18,65
AngelVazquez40,748,251
dodoruz,888,4124
aidei3,461,122
jabadesign,982,2019
FaltaMireles,463,286
granadazoinf,91,162
manuchao,1255922,15
fernandosa3,741,988
marichucky08hb,66,610
stellapremier,5,34
DeniseDresserG,3119086,402
joansenseterra,1780,1821
Mezowski,1965,896
PatriciaMontoy6,4567,2360
Resistencia_UAM,797,407
LeniaBatres,24939,5421
AlbortoP,587,1122
cha_martine,51,118
aguirrejustina2,36,90
carloshdezh,61,66
Nataniel_Hdez,145,504
SexenioMX,1774125,581
charlize33,205,291
mariahaddadg,1077,535
NavarroTicha,28,51
danuchis7,140,277
maines112,130,282
EduardoBlanes,1437,861
davidsanta74,2813,2471
Clitemnistra,1794,1874
rjalvarado,1284,1274
holalibertad,490,1495
pacommedina,812,1082
marcelaluqu,1536,1153
El_Guateque,630,1662
NovedadesAca,85125,50
davidmolinao1,902,1781
huaxyakak,353,224
RadioZapote,19136,3356
argosRuben1,43,182
VernovaN,1733,2690
AteopoetA,860,2017
Alejand19757852,13,112
smlozanol,563,326
Lamarsemx,442,822
Pumaresistente,1826,2129
patricialop68,23,14
ResistenciaAtz,1506,179
inesesco,30,89
rayorayder,335,457
JulioHdez24,115,121
RoxiAbi,3011,4109
LOCUTUS57,87,127
ANITAOCHO,8,123
Sbeltranc84B,4,43
bosquenixticuil,1240,2271
Danielalawyer,177,278
TERE_MIDELEGA,1206,4968
PmVermex,70,132
lornamaria17,143,342
avilesRuiz,45,67
fnando140158,13,24
guerrerow,66,138
BELLEZANOCTURNA,121,830
EnTiempoCom,202,128
tinabrito1,933,375
diannalvp,172,210
jessicaaguilarc,2216,4987
NetzaLetty,535,1160
chamemo,1865,1659
pedrocantue,1238,393
EGVIAN,39,47
gobmx,1510020,195
GIEIAYOTZINAPA,21624,0
YouTube,64668178,964
enecdiez,316,108
Chom2113,66,232
DaCatqtq1,72,138
bistronacanan,342,860
filosofago,1902,1883
yopiensoyexisto,30,154
monocotiledon9,139,242
martin_ivanh,393,809
pablomacdonalcs,414,358
zaredkr,17,55
CampaChata,1073,51
info_opinion,3590,26
EFToussaint,14256,1219
Veronic63243101,198,126
TuitDato,30569,25
eginafomichyov2,33,38
VenomQueen,126,112
GNjera,819,2229
ana_c2a,103,193
YuxapadParty,27,143
DavidMexEs,217,196
fonzeca10,94,572
obrienaustin1,671,46
lainfomx,220,844
brookem85379922,31,77
CastroEdhit,9,97
TadeoFloresMX,35,79
AMZ_WOMAN,412,325
EagleSports8,1994,946
UniversalChih,183,13
Abe_Galeana,1226,1177
RiosPiterJaguar,68657,4376
lopezobrador_,2242320,90
omuqwyjveju9,27,65
antonovgodin70,100,41
luluonti,297,66
anabelcats,389,389
Factor_Mx,133,176
JosetteMet,98,497
mariolopez_c87,153,238
axolotleditorxs,339,1739
Flavio6107ROCA,235,443
La_Ranamx,511,735
informador_MEX,10271,196
OMNIANOTICIAS,7654,941
doc_eva,4436,3741
Liv_QM,1752,3142
elsoldeAca,1345,288
politicomx,31542,830
tehuana70,865,2192
jestradax,2489,797
BosqueDavid,1281,1281
doghouse1969,1832,2015
Blankis3131,15,98
DTuncheo,406,546
mendozacarl1,14,45
elsurdeguerrero,25168,20
SolecitodeVer,276,262
Rosy_Maldo,198,55
kamaradaDavid,140,178
Letiocampo,1968,2310
FedakChasidy,428,71
Cuauhtemocx,7,79
Dealladelcerro,2377,2570
ayot2inapagdl,32,71
triunfor,113,127
elmartinx,5630,5610
MendozaMarita1,4482,3167
israelhikaru,663,786
Dendenornaw,58,139
canc9696,1134,1201
jubilados,2611,2264
UlisesSaenz,687,1447
bsegoviah,122,295
Agustisisimo,245,889
casamayorau,5713,5473
fernandoWthc,745,1958
TPPGuerraSucia,1573,55
CinetecaMexico,2053999,697
homozapp,32323,5280
ParisAyotzi,1228,893
TeresaNMarinB,744,659
titaguerra,1689,1568
Aleph349Alfredo,616,391
ROXCHPO,48,177
_luciacarolin,3420,4661
oma,0,4
Jornestor,6,35
maluza56,38,39
LEGISLATIVO_TV,588,826
teregalvanperez,357,441
cachp88,7,50
digitalgro,1712,261
AlmaguerAraceli,797,1335
sinarsuarez,49755,39611
Vlartin,225,540
RomanSantoyo,169,244
lola_mx,175,110
Francis55764725,1,20
ju72047009,201,578
jess_0913,64,345
OLIVA412,46,423
guicho_pacheco,47,130
Drfidelmaruri1,61,83
PatriciaSonria,135,166
InfoNodal,41249,3974
oruejuani,275,582
regeneracion_r,12157,756
alvamoni,415,804
marisolgase,47375,2759
srodriguez65191,426,787
aletsejuarez,811,393
lcastellanosmx,6197,970
ChaviztaNews,16638,14410
Tlachinollan,15827,1864
escobar_43,1765,2003
lunazul04,29,71
Nadezhda_,1783,1437
HdezGer,1135,1415
ArbolB,2949,2890
mArSePeRiOdIsTa,744,2078
PersonalizaloDD,565,1506
ariz_monca,1355,722
rmartinmar,5462,557
albertomty,1859,2294
L_machuca,2459,607
yomero49,5140,1641
drcarlosrivera1,44,271
adabelmtz,64,10
jormorag,78,106
Noelagl196,64,456
GobCDMX,1684928,218
DanyxAE,177,261
desobediencia_c,1853,2020
angulosiete,5440,344
padi_sarah,59,105
lpz_37,1337,3561
GRPB,645,1954
JOSEFRANCISCO01,3179,3208
JuanPabloEMT,5827,2848
MiguelMacuco,376,1172
verogl01,93,302
lonewolfghost,619,409
gracida777,2384,1622
DuelesMexico,5257,265
Loe_25sept,4731,3543
Aust4Ayotzina,1436,1251
QuestoyQueLotro,2266,69
Juls_Api,12,61
AndreaJanet,504,764
lolareina,28,110
HectorReneMonte,2182,2429
VocesVeracruz24,7506,7792
criteriatv,112,107
I53H6U4eDqKXl0x,133,417
acapulcofulton,261,281
quintopodermex,3477,4898
saul1villagomez,888,1940
jjbelmonte,2945,1548
luna_elguardian,116,139
mac_cazar18,4210,4134
willamtrujillo,189,115
vald3z,770,722
FAZ80957005,69,107
king_choco,638,994
volvamosacreer3,14,102
OSilenci,228,105
acapulconews1,30375,860
letradoarmando1,762,1225
claudiaesamor,394,1652
carmeroso,382,1410
alexcardielsan,1330,2735
M10LamC,26,149
liquid2099,84,252
zEdLaIc,103,354
ronald_blanco,554,123
AC_isback,15097,14936
condorito1202,12,127
VictoriaGilad,2498,1380
Emmalejapaz,1528,2888
ErafoxZl,147,186
elavispon1,111,49
SairaOrtizLpez,33,126
GerardoLehaim,1281,1202
JoshebeVicente,76,234
kupuri_,166,559
FlavioDaz1,320,491
Papinacate,465,652
ely2342,679,320
hrmzfrmhvn,442,853
IrazuDz,4110,4614
mimidjeans,182,533
jesusdebarriop,183,366
1ANDINC1T0,401,1276
fore_p,342,643
SolDeCuernavaca,1622,737
ElSoldeCuautla,767,348
Me_LadyByron,4166,3452
byanjama,4627,2221
CGT_bancaCat,399,288
eneo_unam,8083,810
Pacameza,1149,695
IlaTemistokles,191,1018
quetienelanina,676,1439
EnlaceMexicoMX,576,301
GarciaArrastio,21,58
sitiope,1268,326
univisionreno,1696,577
dw_espanol,106064,117
BEGONIA11,121,122
MoreliaInn,84,69
dianyaelra,19,80
ObservaSIDH,778,175
Yulsvf,210,359
GabyMtzCabrera,419,306
equidadmov,180,388
portalguerrero,82846,928
fnandovil,31,38
CGT_Rotocobrhi,681,1112
gibram_rubio,64,241
arcangelmaggo,180,255
sxakpk,1344,1301
tujaguar,2247,2121
Sandytekila,48,272
DonNacho666,1221,1301
jbaga13,82,186
ivan_pavel_,78,229
ArturoFarelas,263,692
rubensteinheger,279,17
ASULITA1,723,762
Luisantonia,2222,2668
Alame2Margarita,167,720
alelike,685,1959
hipodamos,392,693
RBarzalobre,91,319
lamparadiogenes,4810,619
RecuerdosR,35,232
Marimbola56,393,1096
yl314,1228,1860
hevistounovni,2391,1051
tomrgz,54,156
Alejand28116346,63,211
_Ayotl_,235,377
jjiimmoo88,156,142
Leonhard666,63,195
EPN,5836399,271
S_Cienfuegos_Z,215207,48
400sconejos,1119,766
solis580,1842,1934
otrasvocesotrah,2647,1329
Delpucas,87,85
vozenardecida,3512,2188
SHAKAIM04,1498,912
AmoTajamar,121,139
Ok_Tania,547,1398
incandesceinto,3751,625
PedroTonantzin,721,122
valecabaguil,79,283
abuelitalizz,5844,3619
LamamadeVilla,1209,904
rexiste,4684,342
TravelerChuch,113,288
BReginleif,1875,3657
bonoradioamlo,752,3065
Zaratustran,3417,3432
sanchezmax2021,172,120
alba_tv,119450,4429
AntenaSanLuis,115799,3243
GGMaury,901,439
Crodram,123,61
rodmedrano,1224,1545
MarianneBrest,203,597
filitab,295,313
GAlvaradiaz,84,275
Jannine23,343,1215
Sergiomrrz,2378,3018
YOLANDA01701531,82,241
estrella_gus,1205,1475
grimaldi2000,386,441
nestord542,251,249
cecialdo,170,468
YOOPINO86,90,51
SanAmilcar,11240,6319
jamesoctav,200,257
lavoladoraradio,2930,825
Giromed,49,286
jaimedanrocha,57,99
luferre,208,425
6571ff091d9a42a,52,176
Vivi0579,49,121
playita13,201,183
franchoote,1141,2227
anasofiavargas,490,326
AntonioJMarti,3183,3162
Abigail_HdzM,214,352
obritob,519,467
TamaraVitelli,452,41
76manuel76,747,1913
MagyhelenMagy,819,2065
dontriana,10674,5952
IzcaNacional,4607,1748
Garcimonero,8907,557
EXPRESSENVIOS,259,385
fannaGa,406,248
Zoomstack,1054,2400
enrikereal,45,56
Rosacatl,775,1262
rancioxd,2189,2054
alex_vaskez,2368,1602
redretro,920,277
guille062,273,724
mapinduzi21k,234,585
Gemlasi,15,86
carreygom,264,414
volapok,89,317
jorgegala1954,860,265
QuiqueDapiagi,197,631
israelbailon,84,87
MarthaSofiaVarg,400,522
Decirhaciendo,608,2066
vallem64,227,204
davidtoriello,392,484
TonantzinKansas,1443,1986
ernesogell,173,282
polux15,328,385
davincent1963,3084,3523
jorgemadrid_,797,429
marioramosg,6195,2818
surterchprack14,1640,1122
MiguelA34451292,13,49
JulietaRenteri1,13,78
servando_carlos,3471,4292
erikordaz,71,385
jczapatavalla,51,90
memou83,151,230
jaguardepiedra,973,1639
josepausides,356,109
diegodelunamx,4010,3969
mariwemi,1172,1507
JuPaNaMu,234,643
blasan1974,90,26
Caricatutronico,4012,3773
mimisgreen007,7,41
regagzc,739,730
mirmidon76,377,333
RUBENMINGURA,887,1186
chavitaprepa82,884,1436
Beumonttx,138,301
nsvarner,183,145
lopezo,18,15
stumpfbraun,122,510
nonavaca,9,49
lerma81,197,224
JessySampedro,71,102
YoSoy132FFyL,2832,54
Mauztek,111,289
RArrasq,230,455
carmitamocas,336,95
TereGro48,54,35
CRISTINAURIAS2,36,30
Astro_ChakEk,278,1131
GuerreroCentro,2420,283
iwgo,4468,3830
cometa20,300,1129
lalupi50,360,296
jaca6311,4421,4163
SigfridoMunguia,210,592
juan_elinmortal,101,394
beretovartre,37,168
lucylanuve,214,296
martinfranmo,50,188
LordBigotes,49,238
nancy_contra,2176,809
yaz_vv,126,299
JoanBauza,1190,3812
exodusMX,205,292
cuchomtz,9,126
pumpthevolume,175,700
edbuscaglia,51816,79
AlbaniaOC,11014,314
RENUNCIAEPN332,0,1
RiveraNicolasC,9348,5708
Jorge_Aguilar24,327,1719
SoyLuro,344,1500
JLDiazBello,148,483
olguitapuerta,1270,518
alejand51196909,167,213
davidalmundo,2250,1305
milufa,1157,1046
