source,target
0,1
4,5
7,8
7,1
9,10
12,8
12,1
13,14
15,5
16,14
16,17
20,21
23,8
24,25
26,27
28,22
29,30
31,2
33,34
33,35
15,37
15,38
39,10
40,8
40,41
40,1
42,43
45,37
45,38
46,27
47,14
47,17
42,48
49,8
49,1
50,51
50,52
39,27
53,2
54,54
54,55
54,56
54,57
54,58
61,8
62,14
63,10
4,5
64,65
4,5
66,63
66,10
67,63
67,10
68,8
68,69
68,70
50,72
50,73
74,50
74,51
74,52
74,75
74,76
77,8
77,1
78,79
81,71
82,63
82,10
83,71
84,63
84,10
23,63
23,10
85,65
86,87
88,21
85,14
89,14
90,91
89,65
93,14
94,14
95,96
97,63
97,10
98,63
98,10
99,14
99,100
99,38
101,1
102,8
102,1
103,104
103,105
106,37
107,8
107,1
108,109
110,14
111,92
112,113
45,63
45,10
114,65
115,113
116,63
116,10
95,96
117,8
118,119
120,2
121,63
121,10
89,122
89,123
89,124
89,125
89,126
89,127
129,128
41,8
41,41
41,1
130,131
132,133
134,135
136,137
138,137
139,8
139,69
139,70
140,141
142,8
142,41
142,1
143,43
144,63
144,10
98,113
145,141
146,63
146,10
147,65
148,149
150,2
151,14
151,65
153,8
153,1
154,50
154,51
154,52
154,75
154,76
154,50
154,72
154,73
154,155
156,8
156,69
156,70
132,141
157,158
157,137
157,159
153,1
121,128
161,95
161,96
162,14
163,160
107,65
164,165
89,166
89,167
168,1
169,8
169,41
169,1
170,8
170,1
136,137
171,37
89,128
173,91
118,174
175,37
176,158
176,137
176,159
45,14
118,56
37,177
178,21
179,1
180,56
181,37
181,177
182,37
182,177
184,71
187,188
187,189
187,1
187,190
180,1
195,43
197,37
197,177
198,37
198,177
187,105
199,1
180,105
187,1
187,200
187,201
202,79
203,37
203,177
204,1
205,206
207,63
207,10
208,37
208,177
210,92
211,212
213,153
213,1
214,209
215,37
215,177
207,14
217,212
218,8
218,1
219,212
220,37
220,177
221,37
29,222
29,223
29,224
225,37
225,177
226,227
8,1
228,10
229,1
230,1
231,1
232,37
232,177
234,1
198,37
235,1
34,1
236,37
236,177
237,50
237,51
237,52
237,75
237,76
238,2
221,37
239,8
239,41
239,1
240,200
242,243
242,37
37,201
244,1
245,65
247,121
245,14
181,121
131,10
249,131
249,10
251,63
251,10
252,1
23,105
175,131
175,10
161,200
253,1
221,37
221,38
254,37
254,201
255,131
255,10
257,131
257,10
258,1
259,131
259,10
175,37
